marca,produto,preco_velho_reais,preco_velho_centavos,preco_atual_reais,preco_atual_centavos,nota_avaliacao,num_avaliacoes,_fonte,_site,_data_coleta,_pagina,_ordem
MIZUNO,Mizuno Wave Vitality 4 Masculino Adultos,,,379,90,4.7,(191),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,33
ADIDAS,Tênis Masculino Duramo Sl adidas,499,99,356,35,5.0,(8),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,34
OLIMPAK,Tênis Esportivo Masculino Olimpak Para Caminhada Academia,106,10,100,79,4.4,(3416),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,35
JOHNCAT,Tenis Masculino Yezee Leve Corrida Lançamento Super Promoção,78,90,59,17,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,36
DM DAMANDO,Kit Tenis Confortavel Masculino P/academia Corrida + Relógio,,,78,90,4.6,(341),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,37
ASICS,Asics Gel-Shogun 5 Masculino Adultos,359,90,323,90,4.8,(162),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,38
OLYMPIKUS,Tênis Olympikus Estilo 2 Preto,,,199,90,4.3,(29),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,39
MIZUNO,Mizuno Wave Dynasty 5 Masculino Adultos,479,80,297,47,4.7,(970),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,40
NB,Tênis Masculino N&b 997s Reverl Absordb Sport Lançamento,,,204,99,4.4,(44),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,41
FILA,Fila Running Progress Masculino Adultos,366,59,329,93,4.7,(207),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,42
,Tenis Esporte Academia Corrida Caminhada Confortável Leve,78,90,71,10,4.5,(601),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,43
DUBBELE,Tenis Masculino Academia Corrida Wave Force Promoção Barato,,,75,99,4.3,(508),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,44
BAD FISH,Tênis Track Sapatilha Bad Fish Adventure Pesca Rosa Preto ,,,204,99,4.8,(91),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,45
,Sapatilha Híbrida Aquática Pesca Neoprene Trilha Bike Praia,,,53,,4.6,(267),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,46
RAYCONN,Tenis 4 Molas Masculino Corrida Caminhada Running Original,186,95,164,51,4.3,(77),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,47
,Tenis Para Caminhada Academia Corrida Treino - Leve E Macio,,,67,90,4.5,(434),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,48
CATERPILLAR,Tênis Caterpillar Masculino Esportivo Resistente Macio Nl331,259,90,156,,3.4,(5),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,49
OLYMPIKUS,Tênis Olympikus Voa 2 Corrida Marinho - Masculino,,,249,99,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,50
,Kit 2 Pares Tênis Masculino Academia Lançamento  Fxb 515,,,159,90,4.4,(293),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,51
OLYMPIKUS,Olympikus Casual Index 3 Masculino Adultos 43611218_1-004,189,99,151,99,4.8,(1571),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,52
,"Tenis Esportivo Feminino Masculino,resistente, Confortavel!",,,69,90,4.5,(222),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,53
OLYMPIKUS,Tênis Esportivo Masculino E Feminino Proof 3 Olympikus,199,99,166,99,4.8,(261),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,54
UNDER ARMOUR,Tênis Under Armour Spawn 3 Preto,,,349,90,4.7,(300),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,1
OLDSEN,Tênis Lançamento Original Confortável Corrida Esportivo,,,63,90,5.0,(9),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,2
ADEX,Tênis Futsal Capoeira Corrida Vôlei Casual Solado Borracha,78,99,75,04,4.5,(62),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,3
UNDER ARMOUR,Under Armour Charged Skyline 4 Masculino Adultos,399,99,259,99,4.6,(11),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,4
OLP,Tênis Masculino Feminino Varias Cores Do 34 Ao 43 Promoção,,,89,99,4.1,(56),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,5
PLAZA,Kit 4 Pares Tênis Masculino Casual Academia Caminhada Atacad,,,289,90,4.3,(442),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,6
SKECHERS,Tênis Masculino Go Run Vast Skechers Novo,349,99,250,99,5.0,(25),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,7
OLDSEN,Tenis Corrida Casual Insanity Leve Confortável Macio 34-43,,,78,90,4.2,(146),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,8
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Cesr,,,134,60,4.6,(533),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,9
MVP FITNESS,Tênis Mvp Para Crossfit - 3x3 All Black,379,,360,05,4.8,(138),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:28.022005-03:00,3,10
